Supplier,Date Received,Vendor,Retailer,Address1,Address2,City,State,Zip,Phone,Country,Count Order,Units,Cost
"Ridgecrest Herbals, Inc.",07/01/2013,Nature's Best-Calif,Herbie's Natural Foods,13306 Whittier Blvd,,Whittier,CA,90602,(562) 945-1322,US,5,17,$244.40
"Ridgecrest Herbals, Inc.",07/01/2013,Nature's Best-Calif,Mothers Market Anaheim Hills,5759 East Santa Ana Canyon Rd,,Anaheim,CA,92807,(714) 974-6667,US,4,8,$123.74
"Ridgecrest Herbals, Inc.",07/01/2013,Nature's Best-Calif,Mother's Market-Huntington,19770 Beach Blvd.,,Huntington Beach,CA,92648,(714) 963-6667,US,6,22,$279.43
"Ridgecrest Herbals, Inc.",07/01/2013,Nature's Best-Calif,New Earth Market,1475 Tharp Rd,,Yuba City,CA,95993,(530) 673-9355,US,1,1,$9.63
"Ridgecrest Herbals, Inc.",07/01/2013,Nature's Best-Calif,New Life Health Center (Speedway),4841 E. Speedway,,Tucson,AZ,85712,(520) 325-8375,US,2,5,$76.57
"Ridgecrest Herbals, Inc.",07/01/2013,Palko Distributing Co.,Feger's Health Foods,3058 Tamiami Trail,,Port Charlotte,FL,33952,(941) 625-5561,US,5,14,$179.00
"Ridgecrest Herbals, Inc.",07/01/2013,Select Nutrition - CL,Nature's Realm II,20 East White Mountain Blvd Ste. C-3,,Lake Side,AZ,85929,(928) 367-5838,US,3,21,$283.50
"Ridgecrest Herbals, Inc.",07/01/2013,Select Nutrition - East,Chuck's Natural Foods,11301 North 56th St. Suite 14,,Temple Terrace,FM,33617,(813) 980-2005,US,2,7,$86.50
"Ridgecrest Herbals, Inc.",07/01/2013,Select Nutrition - East,City Center Market,122 N. Buchanan Street,,Cambridge,MN,55008,(763) 689-4640,US,1,3,$45.00
"Ridgecrest Herbals, Inc.",07/01/2013,Select Nutrition - East,Health Best,1350 Galloping Hill Rd,,Union,NJ,07083,(908) 687-4575,US,3,3,$35.01
"Ridgecrest Herbals, Inc.",07/01/2013,Select Nutrition - East,Health Food Mart  ,1507 Southwest 21st.,,Topeka,KS,66604,(785) 235-9710,US,3,7,$77.00
"Ridgecrest Herbals, Inc.",07/01/2013,Select Nutrition - East,JB's HealthMart,1504 PREACHER ROE BLVD STE  2,,WEST PLAINS,MO,65775,(417) 255-1654,US,2,3,$53.00
"Ridgecrest Herbals, Inc.",07/01/2013,Select Nutrition - East,Lori's Natural Foods,900 Jefferson Rd.,,Rochester,NY,14623,(585) 424-2323,US,5,40,$627.71
"Ridgecrest Herbals, Inc.",07/01/2013,Select Nutrition - East,Natural Foods General Store,675 Batchelor St,,Toms River,NJ,08753,(732) 240-9320,US,2,5,$47.50
"Ridgecrest Herbals, Inc.",07/01/2013,Select Nutrition - East,Natural Foods Market,"3211 Peoples Street, Ste 74",,Johnson City,TN,37604,(423) 610-1200,US,5,13,$178.50
"Ridgecrest Herbals, Inc.",07/01/2013,Select Nutrition - East,Organica Natural Foods,246 Livingston St.,,Northvale,NJ,07647,(201) 767-8182,US,1,1,$9.50
"Ridgecrest Herbals, Inc.",07/01/2013,Select Nutrition - East,Queens Health Emporium,15901 Horace Harding Expressway,,Flushing,NY,11365,(718) 358-6500,US,1,6,$57.00
"Ridgecrest Herbals, Inc.",07/01/2013,Select Nutrition - East,Thyme & Season,3040 Whitney Ave.,,Hamden,CT,06518,(203) 407-8128,US,2,3,$45.00
"Ridgecrest Herbals, Inc.",07/01/2013,Super Natural Distributors,Health Hut,2225 S 108th Street,,West Allis,WI,53227,(414) 545-8844,US,2,9,$87.00
"Ridgecrest Herbals, Inc.",07/01/2013,Tree Of Life Midwest,Health Nutz Natural Foods,19844 South La Grange Rd.,,Mokena,IL,60448,(708) 479-7578,US,2,4,$54.00
"Ridgecrest Herbals, Inc.",07/01/2013,UNFI Atlanta,Everman Natural Foods,315 West Garden St.,,Pensacola,FL,32502,(850) 438-0402,US,2,6,$78.00
"Ridgecrest Herbals, Inc.",07/01/2013,UNFI Denver,Natural Food Products,707 West State St,,Grand Island,NE,68801,(308) 382-0869,US,2,3,$38.50
"Ridgecrest Herbals, Inc.",07/01/2013,UNFI Greenwood,Health Food Shoppe,3515 N. Anthony Blvd.,,Fort Wayne,IN,46805,(260) 483-5211,US,1,3,$35.50
"Ridgecrest Herbals, Inc.",07/01/2013,UNFI IA,Seward Community Co-op,2823 East Franklin Ave,,Minneapolis,MN,55406,(612) 338-2465,US,7,15,$139.46
"Ridgecrest Herbals, Inc.",07/01/2013,UNFI Northern California,New Leaf Santa Cruz,1134 Pacific Avenue,,Santa Cruz,CA,95060,(831) 425-1793,US,1,2,$19.00
"Ridgecrest Herbals, Inc.",07/01/2013,UNFI Northern California,Sacramento Co-op,1900 Alhambra BLVD,,Sacramento,CA,95816,(916) 455-2667,US,1,3,$49.50
"Ridgecrest Herbals, Inc.",07/01/2013,UNFI Ridgefield,Settler's Country Market,530 Valley Rd,Suite J,Moses Lake,WA,98823,(509) 766-9981,US,1,1,$9.50
"Ridgecrest Herbals, Inc.",07/02/2013,Nature's Best-Calif,Artesian Natural Foods,145 Lincoln Center,,Stockton,CA,95207,(209) 952-8787,US,2,7,$142.03
"Ridgecrest Herbals, Inc.",07/02/2013,Select Nutrition - East,4 Kicks Ltd,4274 Peachtree Rd,,Atlanta,GA,30319,404 477 6887,US,1,1,$11.00
"Ridgecrest Herbals, Inc.",07/02/2013,Select Nutrition - East,Bare Essentials Natural Market,273 Boone Heights Dr.,,Boone,NC,28607,(828) 262-5592,US,2,5,$66.50
"Ridgecrest Herbals, Inc.",07/02/2013,Select Nutrition - East,David's Market-Forest Hills,1523 - E Rockspring Road,,Forest Hill,MD,21084,(410) 836-0808,US,4,20,$229.50
"Ridgecrest Herbals, Inc.",07/02/2013,Select Nutrition - East,Nature's Outlet,4822-B Valley View Blvd,,Roanoke,VA,24012,(540) 989-5109,US,2,4,$40.00
"Ridgecrest Herbals, Inc.",07/02/2013,Select Nutrition - East,Nutrition S'Mart Palm Beach Gardens,4155 Northlake Boulevard,,Palm Beach Gardens,FL,33410,(561) 694-0644,US,7,15,$224.53
"Ridgecrest Herbals, Inc.",07/02/2013,Select Nutrition - East,Roanoke Co-op,1319 Grandin Road,,Roanoke,VA,24015,(540) 343-5652,US,2,5,$95.53
"Ridgecrest Herbals, Inc.",07/02/2013,Select Nutrition - East,Takoma Park Food Coop,201 Ethan Allen Ave,,Takoma Park,MD,20912,(301) 891-2667,US,6,20,$303.03
"Ridgecrest Herbals, Inc.",07/02/2013,Select Nutrition - East,Vivamas,San Patricio Plaza / Planta Baja,,Guaynabo,PR,00968,(787) 792-2464,US,1,2,$19.00
"Ridgecrest Herbals, Inc.",07/02/2013,Super Natural Distributors,Harvest Health Foods,6807 Cascade Rd. SE,,Grand Rapids,MI,49546,(616) 975-7555,US,7,18,$301.50
"Ridgecrest Herbals, Inc.",07/02/2013,Threshold Enterprises,Anacortes Health & Nutrition,1020 7TH STREET,,ANACORTES,WA,98221,(360) 293-8849,US,3,10,$115.00
"Ridgecrest Herbals, Inc.",07/02/2013,Threshold Enterprises,Clovers Natural Market (Chapel),2100 Chapel Plaza Ct,,Columbia,MO,65203,(573) 445-0990,US,1,4,$38.00
"Ridgecrest Herbals, Inc.",07/02/2013,Threshold Enterprises,Paradise Health and Nutrition,4270 Minton Rd Suite 112,,West Melbourne,FL,32904,(321) 722-1440,US,3,6,$85.00
"Ridgecrest Herbals, Inc.",07/02/2013,UNFI CAP Chesterfield,Hunger Mountain Co-op,623 Stone Cutters Way,,Montpellier,VT,05602,(802) 223-6910,US,2,6,$40.98
"Ridgecrest Herbals, Inc.",07/02/2013,UNFI CAP Iowa,The Wedge Co-op,2105 Lyndale Ave S,,Minneapolis,MN,55405,(612) 465-8821,US,3,7,$47.81
"Ridgecrest Herbals, Inc.",07/02/2013,UNFI IA,Family Health Food Store,1020 West Main St.,,Durant,OK,74701,(580) 924-3214,US,1,3,$60.03
"Ridgecrest Herbals, Inc.",07/02/2013,UNFI IA,Fresh and Natural-Shoreview,1075 W Hwy 96,,Shoreview,MN,55126,(651) 203-3663,US,1,3,$37.50
"Ridgecrest Herbals, Inc.",07/02/2013,UNFI Northwest,Rosauers-Hkbry Bozeman,3255 Technology Blvd,,Bozeman,MT,59718,(406) 587-0637,US,1,4,$38.00
"Ridgecrest Herbals, Inc.",07/02/2013,UNFI Sarasota,Nutrition S'Mart Tampa,14847 N. Dale Mabry Hwy.,,Tampa,FL,33618,(813) 908-9500,US,5,22,$308.02
"Ridgecrest Herbals, Inc.",07/02/2013,UNFI Texas,Vitamins Plus #210,5819 E. Kings Hwy.,,Shreveport,LA,71105,(318) 861-7079,US,1,3,$60.00
"Ridgecrest Herbals, Inc.",07/03/2013,Nature's Best-Calif,Mother's Market-Irvine,2963 Michelson Dr.,,Irvine,CA,92612,(949) 752-6667,US,2,4,$45.64
"Ridgecrest Herbals, Inc.",07/03/2013,Palko Distributing Co.,All Ways Healthy Natural Foods,123 S. Rand Rd.,,Lake Zurich,IL,60047,(847) 438-9200,US,1,3,$75.00
"Ridgecrest Herbals, Inc.",07/03/2013,Palko Distributing Co.,Nature's Remedies,2812 N Calumet,,Valparaiso,IN,46383,,US,2,4,$65.00
"Ridgecrest Herbals, Inc.",07/03/2013,Select Nutrition - East,,,,,,,,,4,10,$116.00
"Ridgecrest Herbals, Inc.",07/03/2013,Select Nutrition - East,Big Bear NF-Ewing,17 Arctic Parkway,,Ewing,NJ,08520,(609) 392-7221,US,3,5,$75.52
"Ridgecrest Herbals, Inc.",07/03/2013,Select Nutrition - East,Earth Origins Market #17,2000 Tamiami Trl #220,,Port Charlotte,FL,33948,(941) 255-2179,US,1,11,$189.04
"Ridgecrest Herbals, Inc.",07/03/2013,Select Nutrition - East,Earth Origins Market #9,6651 Central Ave,,St. Petersburg,FL,33710,(727) 347-5682,US,2,29,$370.50
"Ridgecrest Herbals, Inc.",07/03/2013,Select Nutrition - East,Mom's Organic Market - Timonium,20 W. Ridgely Rd.,,Timonium,MD,21093,(443) 921-1390,N/,1,3,$29.50
"Ridgecrest Herbals, Inc.",07/03/2013,Select Nutrition - East,NRG Railway Market #6,108 Marlboro Ave.,Ste. 1,Easton,MD,21601,(410) 822-4852,US,6,9,$130.53
"Ridgecrest Herbals, Inc.",07/03/2013,Select Nutrition - East,Viroqua Food Co-op,609 N Main St.,,Viroqua,WI,54665,(603) 637-7511,US,3,6,$72.50
"Ridgecrest Herbals, Inc.",07/03/2013,Select Nutrition - East,Westerly Natural Market,913 8th Ave. @ 54th Street,,New York,NY,10019,(212) 586-5262,US,3,28,$403.56
"Ridgecrest Herbals, Inc.",07/03/2013,Threshold Enterprises,Health Foods Center - Lawton,14 NW Sheridan Rd,,Lawton,OK,73505,(580) 353-1533,US,2,5,$68.50
"Ridgecrest Herbals, Inc.",07/03/2013,Tree Of Life Southeast,Mary's Health Foods,Calle Gautier Benitez 195,,Caguas,PR,00725,(787) 744-5656,US,1,3,$25.50
"Ridgecrest Herbals, Inc.",07/03/2013,UNFI CAP Atlanta,Hendersonville Community Coop,715 Old Spartanburg Hwy.,,Hendersonville,NC,28792,(828) 693-0505,US,1,2,$13.66
"Ridgecrest Herbals, Inc.",07/03/2013,UNFI CAP Chesterfield,Brattleboro Food Coop,2 Main St.,,Brattleboro,VT,05301,(802) 257-0236,US,1,2,$17.66
"Ridgecrest Herbals, Inc.",07/03/2013,UNFI CAP York,Whole Foods Co-op,1341 W 26St,,Erie,PA,16508,(814) 456-0282,US,1,3,$45.00
"Ridgecrest Herbals, Inc.",07/03/2013,UNFI Chesterfield,Peter's Cornucopia,38 New Hartford Shopping Center,,New Hartford,NY,13413,(315) 724-4998,US,1,4,$38.00
"Ridgecrest Herbals, Inc.",07/03/2013,UNFI IA,Lakewinds Anoka Food Co-op,435 Pond Promenade,,Chanhassen,MN,55317,(612) 427-4340,US,9,17,$194.50
"Ridgecrest Herbals, Inc.",07/03/2013,UNFI IA,Oneota Community-W Co-op ,312 W. Water St.,,Decorah,IA,52101,(563) 382-4666,US,3,6,$81.51
"Ridgecrest Herbals, Inc.",07/03/2013,UNFI IA,Outpost Natural Foods Capitol Dr,100 E Capitol Dr,,Milwaukee,WI,53212,(414) 961-2567,US,4,7,$87.50
"Ridgecrest Herbals, Inc.",07/03/2013,UNFI Northern California,Grass Roots Natural Foods ,2040 Dunlap Dr.,,South Lake Tahoe,CA,96150,(530) 541-7788,US,3,4,$49.00
"Ridgecrest Herbals, Inc.",07/03/2013,UNFI Northern California,Oliver's Market 2,546 E Cotati Ave,,Cotati,CA,94931,(707) 795-9501,US,2,4,$38.00
"Ridgecrest Herbals, Inc.",07/03/2013,UNFI Northwest,Mountain Valley Foods,25 Commons Way,,Kalispell,MT,59901,(406) 756-1422,US,3,6,$71.00
"Ridgecrest Herbals, Inc.",07/03/2013,UNFI Ridgefield,Boise Co-op Grocery 1,888 West Fort Street,,Boise,ID,83702,(208) 472-4500,US,6,10,$119.00
"Ridgecrest Herbals, Inc.",07/03/2013,UNFI Sarasota,Abby's Health & Nutrition,14374 N. Dale Mabry,,Tampa,FL,33618,(813) 265-4951,US,2,7,$98.51
"Ridgecrest Herbals, Inc.",07/03/2013,UNFI Texas,Village Foods,1760 Briarcrest Drive,,Bryan,TX,77802,(979) 691-7160,US,3,6,$57.00
"Ridgecrest Herbals, Inc.",07/04/2013,Nature's Best-Calif,New Frontier Sedona #1,1420 W Hwy 89A,,Sedona,AZ,86336,(928) 282-6311,US,5,11,$134.85
"Ridgecrest Herbals, Inc.",07/04/2013,Select Nutrition - East,Earth Origins Market #4,7006 Reisterstown Rd.,Colonial Village Shopping Center,Baltimore,MD,21215,(410) 486-0979,US,1,4,$38.00
"Ridgecrest Herbals, Inc.",07/04/2013,Select Nutrition - East,Village Market,5002 University Dr.,,Collegedale,TN,37315,(423) 236-2301,US,1,4,$45.00
"Ridgecrest Herbals, Inc.",07/04/2013,Threshold Enterprises,Earthbar,8365 Santa Monica Blvd,,West Hollywood,CA,90069,3109185828,N/,4,8,$102.50
"Ridgecrest Herbals, Inc.",07/04/2013,UNFI CAP Atlanta,Knoxville 3 Rivers Co-op,1100 N Central St,,Knoxville,TN,37917,(865) 525-2069,US,2,3,$20.49
"Ridgecrest Herbals, Inc.",07/04/2013,UNFI CAP Atlanta,Weaver Street-Carrboro,101 E Weaver St,,Carrboro,NC,27510,(919) 929-0010,US,3,3,$20.49
"Ridgecrest Herbals, Inc.",07/04/2013,UNFI CAP Iowa,Mississippi Market-Selby,622 Selby Ave.,,St. Paul,MN,55104,(651) 310-9499,US,2,2,$13.66
"Ridgecrest Herbals, Inc.",07/04/2013,UNFI IA,Nature's Pantry-Independence,19019 E 48th St. South,,Independence,MO,64055,(816) 478-1990,US,4,21,$297.50
"Ridgecrest Herbals, Inc.",07/04/2013,UNFI Northern California,Wildberries Marketplace,747 13th Street,,Arcata,CA,95521,(707) 822-0095,US,1,2,$25.00
"Ridgecrest Herbals, Inc.",07/04/2013,UNFI York,Yes Organic Mkt-Petworth,4100 Georgia Ave,,Washington,DC,20011,(202) 291-5790,US,2,3,$28.50
"Ridgecrest Herbals, Inc.",07/05/2013,Nature's Best-Calif,Mother's Market - Santa Ana2,151 Memory Lane,,Santa Ana,CA,92705,(949) 752-6667,US,5,21,$424.35
"Ridgecrest Herbals, Inc.",07/05/2013,Nature's Best-Dallas,Jack's Natural Foods,1614 Judson Road,,Longview,TX,75601,903-753-4800,US,1,2,$40.04
"Ridgecrest Herbals, Inc.",07/05/2013,Select Nutrition - East,Be Well,38 E.Water St.,,Chillicothe,OH,45601,(740) 772-4920,US,1,2,$25.00
"Ridgecrest Herbals, Inc.",07/05/2013,Select Nutrition - East,Co-Opportunity 2,1525 Broadway Street,,Santa Monica,CA,90404,(310) 451-8902,US,1,6,$57.00
"Ridgecrest Herbals, Inc.",07/05/2013,Select Nutrition - East,Earth Origins #11,521 NW 13th St,,Gainesville,FL,32601,(352) 378-5244,US,1,6,$90.00
"Ridgecrest Herbals, Inc.",07/05/2013,Select Nutrition - East,Earth Origins Market #15,1930 Stickney Point Rd,,Sarasota,FL,34236,(941) 924-4754,US,2,4,$52.50
"Ridgecrest Herbals, Inc.",07/05/2013,Select Nutrition - East,Golden Carrot NF,433 Jefferson St.,,Paducah,KY,42001,(270) 442-0999,US,1,1,$12.50
"Ridgecrest Herbals, Inc.",07/05/2013,Super Natural Distributors,Basics Co-op,1711 Lodge Dr,,Janesville,WI,53545,(608) 754-3925,US,2,6,$105.00
"Ridgecrest Herbals, Inc.",07/05/2013,Threshold Enterprises,Island Natural Market,204 Retreat Village,,St. Simons Island,GA,31522,(912) 634-0394,US,2,2,$25.00
"Ridgecrest Herbals, Inc.",07/05/2013,Threshold Enterprises,Island Naturals Kona,74-5487 Kaiwi St,,Kailua Kona,HI,96740-1607,(808) 326-1122,US,1,6,$57.00
"Ridgecrest Herbals, Inc.",07/05/2013,Threshold Enterprises,Keaau Natural Foods,16-586 Old Volcano Rd,Ste 109,Keaau,HI,96749,(808) 966-8877,US,1,2,$19.00
"Ridgecrest Herbals, Inc.",07/05/2013,Threshold Enterprises,Mother's Market-Laguna,24165 Paseo de Valencia,,Laguna Woods,CA,92637,(949) 768-6667,US,6,21,$247.60
"Ridgecrest Herbals, Inc.",07/05/2013,Threshold Enterprises,Nature's Food Center,495  N. Main (Store),601 N. Forbes (Mailorder/Buyers Club),Lakeport,CA,95453,(707) 263-7938,US,2,4,$52.00
"Ridgecrest Herbals, Inc.",07/05/2013,Threshold Enterprises,Nature's Harvest,101 E Moreland Rd,,Willow Grove,PA,19090,(215) 659-7705,US,2,7,$105.00
"Ridgecrest Herbals, Inc.",07/05/2013,Threshold Enterprises,Richard's-St. Petersburg,3455 Tyrone Blvd,,St. Petersburg,FL,33710,(727) 343-0084,US,1,2,$19.00
"Ridgecrest Herbals, Inc.",07/05/2013,Threshold Enterprises,Sunshine Herbs,1020 East Huning,,Show Low,AZ,85901,(928) 537-1711,US,2,7,$102.50
"Ridgecrest Herbals, Inc.",07/05/2013,UNFI Atlanta,Nutrition S'Mart,12594 Pines Blvd,,Pembroke Pines,FL,33027,(954) 437-0035,US,2,2,$30.00
"Ridgecrest Herbals, Inc.",07/05/2013,UNFI Greenwood,Garden Patch Market,228 W JEdison,,Mishawaka,IN,46545,(574) 255-3151,US,1,2,$33.00
"Ridgecrest Herbals, Inc.",07/05/2013,UNFI IA,Food For Thought,2929 East Central Ave.,,Wichita,KS,67214,(316) 683-6078,US,2,4,$50.00
"Ridgecrest Herbals, Inc.",07/05/2013,UNFI Northern California,New Leaf Capitola,1210 41st Ave,,Capitola,CA,95010,(831) 466-9060,US,1,1,$20.00
"Ridgecrest Herbals, Inc.",07/05/2013,UNFI Ridgefield,Ashland Food Co-op,237 N First Street,,Ashland,OR,97520,(541) 482-2237,US,2,5,$53.50
"Ridgecrest Herbals, Inc.",07/05/2013,UNFI Sarasota,Ada's Natural Foods,4650 S. Cleveland Ave,,Ft. Myers,FL,33907,(239) 939-9600,US,3,4,$50.50
"Ridgecrest Herbals, Inc.",07/05/2013,UNFI York,MOM's-Frederick,5273 Buckeystown Pike,,Frederick,MD,21703,(301) 816-1133,US,8,24,$229.50
"Ridgecrest Herbals, Inc.",07/06/2013,Nature's Best-Calif,Elliott's Rocklin,6671 Blue Oaks Blvd,,Rocklin,CA,95765,(916) 726-3033,US,1,1,$16.73
"Ridgecrest Herbals, Inc.",07/06/2013,Select Nutrition - East,Dodson's HF & Vitamins,1305 36th Ave NW,,Norman,OK,73072,(405) 329-4613,US,2,5,$70.50
"Ridgecrest Herbals, Inc.",07/06/2013,Select Nutrition - East,Sunshine Nutrition Center,621 South Church Street,,Murfreesboro,TN,37130,(615) 896-2972,US,2,9,$103.50
"Ridgecrest Herbals, Inc.",07/06/2013,Threshold Enterprises,Chico Natural Foods,818 Main St.,,Chico,CA,95616,(530) 891-1713,US,1,3,$28.50
"Ridgecrest Herbals, Inc.",07/06/2013,Threshold Enterprises,Natural Pantry,3801 Old Seward Hwy,,Anchorage,AK,99503,(907) 770-1444,US,2,36,$468.00
"Ridgecrest Herbals, Inc.",07/06/2013,Threshold Enterprises,Richard's Foodporium - State Road 70 #14,3110 - 53rd Ave E.,,Bradenton,FL,34203,(941) 756-4372,US,2,5,$61.50
"Ridgecrest Herbals, Inc.",07/06/2013,Threshold Enterprises,Rita's Granary,1013 Mountain Drive,,San Marcos,TX,78666,(512) 757-4177,US,4,25,$410.50
"Ridgecrest Herbals, Inc.",07/06/2013,UNFI Chesterfield,Dawson's Market,225 N. Washington Street,,Rockville,MD,20850,(804) 359-7525,N/,1,3,$28.50
"Ridgecrest Herbals, Inc.",07/06/2013,UNFI IA,River Market Co-op,221 North  Main Street,,Stilllwater,MN,55082,(651) 439-0366,US,3,3,$28.50
"Ridgecrest Herbals, Inc.",07/06/2013,UNFI Sarasota,Nature's Food Patch  ,1225 Cleveland Street,,Clearwater,FL,33755,(727) 443-6703,US,5,13,$135.01
"Ridgecrest Herbals, Inc.",07/06/2013,UNFI Southwest,Dixie Nutrition,2746 East 850 North,,St. George,UT,84790,,US,2,4,$60.00
"Ridgecrest Herbals, Inc.",07/07/2013,Nature's Best-Calif,Frazier Farms,225 Vista Village Drive,,Vista,CA,92083-4998,(760) 758-7175,US,4,24,$360.45
"Ridgecrest Herbals, Inc.",07/07/2013,Nature's Best-Calif,Mother's Market - Brea 1,413 S. Associated Rd,Building C,Brea,CA,92821,(714) 990-6667,US,2,9,$120.21
"Ridgecrest Herbals, Inc.",07/07/2013,Nature's Best-Calif,Mother's Market-Costa Mesa,1890 Newport Blvd,,Costa Mesa,CA,92627,(949) 631-4741,US,7,39,$715.20
"Ridgecrest Herbals, Inc.",07/07/2013,Palko Distributing Co.,Raisin Rack Westerville Canton,2545 Schrock Rd.,,Westerville,OH,43081,(614) 882-5886,US,3,13,$186.50
"Ridgecrest Herbals, Inc.",07/07/2013,Select Nutrition - East,Good Health Natural Foods (Quincy),1627 Hancock Street,,Quincy,IL,02169,(617) 773-4925,US,1,1,$10.00
"Ridgecrest Herbals, Inc.",07/07/2013,Select Nutrition - East,Organic Food Center,862 N. Miramar Ave.,,Indialantic,FL,32903,(321) 724-2383,US,1,2,$33.00
